city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
林芝地区,18,4,16,0.35,6,51,35,3
通化,22,8,21,0.8,10,41,43,5
三亚,23,12,22,0.6,7,36,40,3
阳江,24,8,17,0.6,5,42,47,8
茂名,27,10,26,0.45,6,26,37,4
日喀则地区,29,6,27,0.35,2,68,56,5
珠海,29,12,19,0.45,10,44,56,3
昌都地区,29,6,12,0.7,11,86,57,8
厦门,29,16,20,0.28,20,32,56,5
白山,30,7,27,0.9,10,41,59,9
深圳,30,14,25,0.4,30,40,58,7
三沙,30,7,20,0.3,30,51,58,6
泉州,31,10,30,0.47,14,26,61,9
寿光,31,17,28,1.1,32,40,60,6
佳木斯,32,8,17,0.54,24,44,62,6
海口,32,20,31,0.56,19,18,59,4
江门,32,13,26,0.55,11,37,62,5
湛江,33,14,32,0.57,5,33,53,4
伊春,34,13,33,0.27,16,20,57,5
汕头,34,21,33,0.6,12,52,66,12
鹤岗,34,12,26,0.48,13,53,67,6
双鸭山,34,14,26,0.35,8,67,67,1
章丘,35,20,30,0.75,28,65,69,8
中山,35,13,20,0.5,8,39,68,4
绥化,35,14,26,0.4,11,63,68,6
云浮,36,12,20,0.5,15,51,71,10
丹东,36,25,30,0.7,29,25,37,8
舟山,36,14,29,0.6,12,57,70,6
鸡西,37,13,17,0.33,5,56,72,4
瓦房店,38,26,24,0.55,20,29,44,2
汕尾,38,15,37,0.67,6,58,58,8
大连,39,15,22,0.6,15,73,76,6
哈尔滨,39,11,32,0.49,22,72,76,4
黄山,39,6,29,0.5,15,74,76,10
七台河,40,11,16,0.47,4,78,79,11
惠州,40,22,39,0.54,28,47,79,6
吉林,40,25,39,0.76,29,43,56,9
东莞,40,14,34,0.5,22,46,78,4
山南地区,40,5,21,0.45,6,65,79,4
肇庆,41,15,22,0.45,11,57,81,7
玉林,41,25,33,0.77,19,64,80,22
延边州,41,15,34,0.47,14,81,80,8
辽源,43,24,38,0.6,23,70,85,3
宿迁,43,13,18,0.43,12,121,85,7
梅州,43,21,40,0.83,18,75,84,6
防城港,43,20,42,0.6,16,34,44,10
揭阳,43,18,42,0.83,13,42,78,9
钦州,44,18,43,0.73,17,53,57,13
连云港,44,19,36,0.56,32,68,87,9
龙岩,45,15,38,0.63,22,67,88,6
